#target name         accession query name                    accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ----------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2828     2780      -    no    1 0.73   0.0   56.2     3e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_JADMXW010000013.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    37232    37181      -    no    1 0.63   0.0   54.3   1.1e-06 !   Serratia marcescens strain 1001295B_180824_A7 NODE_13_length_164433_cov_23.8572, whole genome shotgun sequence
JAAYLN010000317.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3037     3087      +    no    1 0.63   0.0   53.9   1.4e-06 !   Lentisphaerae bacterium isolate AS15tlH2ME_36 108881_AS15, whole genome shotgun sequence
NZ_CP035951.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2475061  2475011      -    no    1 0.75   0.0   53.5   1.8e-06 !   Acidovorax sp. JMULE5 chromosome
PHBN01000183.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2695     2646      -    no    1 0.48   0.0   53.4   1.9e-06 !   Deltaproteobacteria bacterium HGW-Deltaproteobacteria-1 yuki_s1_sub10_scaffold_1071, whole genome shotgun sequence
DISH01000004.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    55379    55427      +    no    1 0.63   0.0   52.7   2.9e-06 !   TPA_asm: Candidatus Omnitrophica bacterium UBA6215 UBA6215_contig_59, whole genome shotgun sequence
JACPUE010000017.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    25822    25872      +    no    1 0.73   0.0   52.7   2.9e-06 !   Burkholderiales bacterium isolate NC_groundwater_750_Ag_S-0.1um_66_20 JBCH_GD18_4_SO1_S176_scaffold_225521, whole genome shotgun sequence
PGXT01000229.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1627     1577      -    no    1 0.49   0.0   52.5   3.3e-06 !   Spirochaetae bacterium HGW-Spirochaetae-5 bjp_ig2069_scaffold_14532, whole genome shotgun sequence
NC_018708.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4210754  4210704      -    no    1 0.76   0.2   52.3   3.8e-06 !   Acidovorax sp. KKS102, complete sequence
NZ_JQKD01000012.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   107060   107008      -    no    1 0.74   0.0   52.1   4.3e-06 !   Xenophilus azovorans DSM 13620 Q392DRAFT_scaffold00010.10_C, whole genome shotgun sequence
NZ_FKIF01000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      494      545      +    no    1 0.67   0.0   51.6   6.1e-06 !   Bordetella ansorpii strain H050680373, whole genome shotgun sequence
NZ_JADKYZ010000002.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   360004   359952      -    no    1 0.66   0.0   51.2   7.6e-06 !   Diaphorobacter sp. NR2-3-3-1 contig2, whole genome shotgun sequence
NZ_CP015118.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4661911  4661859      -    no    1 0.68   0.0   51.1   8.3e-06 !   Rhizobacter gummiphilus strain NS21 chromosome, complete genome
DSXD01000001.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    48007    48058      +    no    1 0.69   0.0   51.1   8.5e-06 !   TPA_asm: Acidobacteria bacterium isolate SpSt-543 Ga0101944_10000333, whole genome shotgun sequence
VGYW01000483.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5557     5507      -    no    1 0.69   0.0   50.9   9.3e-06 !   Planctomycetes bacterium isolate M_DeepCast_400m_m2_341 M_DeepCast_400m_m2_341_Ga0194112_10028577, whole genome shotgun sequence
NZ_QJJJ01000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    41448    41500      +    no    1 0.70   0.0   50.9   9.5e-06 !   Methylobacterium sp. B4 Ga0157232_108, whole genome shotgun sequence
