#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_MZGT01000054.1    -         Sodium               RF03071    cm        1       55     4934     4990      +    no    1 0.37   0.0   66.8     1e-08 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000054, whole genome shotgun sequence
CP029329.1           -         Sodium               RF03071    cm        1       55  3285283  3285226      -    no    1 0.36   0.0   66.7   1.1e-08 !   Clostridium beijerinckii isolate WB53 chromosome, complete genome
NZ_CP073653.1        -         Sodium               RF03071    cm        1       55  1691457  1691514      +    no    1 0.36   0.0   66.7   1.1e-08 !   Clostridium beijerinckii strain DSM 791 chromosome, complete genome
NZ_LZZM01000042.1    -         Sodium               RF03071    cm        1       55     4620     4563      -    no    1 0.36   0.0   66.7   1.1e-08 !   Clostridium puniceum strain DSM 2619 CLPUN_contig000042, whole genome shotgun sequence
NZ_AUUU01000077.1    -         Sodium               RF03071    cm        1       55    21477    21420      -    no    1 0.38   0.0   65.9   1.7e-08 !   Clostridium sp. LS contig_85, whole genome shotgun sequence
NZ_AUUU01000100.1    -         Sodium               RF03071    cm        1       55    49720    49773      +    no    1 0.35   0.0   65.4   2.3e-08 !   Clostridium sp. LS contig_108, whole genome shotgun sequence
CP029329.1           -         Sodium               RF03071    cm        1       55  3046638  3046695      +    no    1 0.33   0.0   65.4   2.3e-08 !   Clostridium beijerinckii isolate WB53 chromosome, complete genome
NZ_KK211338.1        -         Sodium               RF03071    cm        1       55    88699    88756      +    no    1 0.38   0.0   65.2   2.6e-08 !   Clostridium beijerinckii HUN142 T483DRAFT_scaffold00011.11, whole genome shotgun sequence
NZ_FOJI01000007.1    -         Sodium               RF03071    cm        1       55    55127    55071      -    no    1 0.33   0.0   64.7   3.4e-08 !   [Clostridium] fimetarium strain DSM 9179, whole genome shotgun sequence
NZ_CM001240.1        -         Sodium               RF03071    cm        1       55  4805475  4805419      -    no    1 0.42   0.0   64.5     4e-08 !   Clostridium sp. DL-VIII chromosome, whole genome shotgun sequence
NZ_CP009933.1        -         Sodium               RF03071    cm        1       55  3538270  3538213      -    no    1 0.34   0.0   64.1   5.2e-08 !   Clostridium scatologenes strain ATCC 25775 chromosome, complete genome
NZ_JIBU02000013.1    -         Sodium               RF03071    cm        1       55   233138   233081      -    no    1 0.34   0.0   64.1   5.2e-08 !   Clostridium drakei strain SL1 contig_13, whole genome shotgun sequence
NC_016791.1          -         Sodium               RF03071    cm        1       55  3404265  3404319      +    no    1 0.45   0.0   64.1   5.2e-08 !   Clostridium sp. BNL1100, complete sequence
NC_022571.1          -         Sodium               RF03071    cm        1       55  1866536  1866591      +    no    1 0.39   0.0   63.9   5.7e-08 !   Clostridium saccharobutylicum DSM 13864, complete sequence
NC_014393.1          -         Sodium               RF03071    cm        1       55  4379773  4379830      +    no    1 0.40   0.0   63.9   5.8e-08 !   Clostridium cellulovorans 743B, complete sequence
NC_020291.1          -         Sodium               RF03071    cm        1       55  3100932  3100987      +    no    1 0.36   0.0   63.6   6.9e-08 !   Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence
NZ_SULK01000013.1    -         Sodium               RF03071    cm        1       55    91881    91825      -    no    1 0.35   0.0   63.4   7.8e-08 !   Clostridium sp. HBUAS56017 Scaffold13, whole genome shotgun sequence
NZ_MZGT01000071.1    -         Sodium               RF03071    cm        1       55     6973     6918      -    no    1 0.39   0.0   63.3     8e-08 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000071, whole genome shotgun sequence
NZ_BAEV01000004.1    -         Sodium               RF03071    cm        1       55    37838    37781      -    no    1 0.34   0.0   63.1   8.8e-08 !   Clostridium arbusti SL206, whole genome shotgun sequence
NZ_ATAY01000030.1    -         Sodium               RF03071    cm        1       55    33889    33835      -    no    1 0.47   0.0   63.1   9.2e-08 !   Ruminiclostridium papyrosolvens C7 contig00037, whole genome shotgun sequence
NZ_JAGE01000001.1    -         Sodium               RF03071    cm        1       55  2650292  2650238      -    no    1 0.47   0.0   63.1   9.2e-08 !   Ruminiclostridium josui JCM 17888 K412DRAFT_scf7180000000006_quiver.1_C, whole genome shotgun sequence
NZ_JAABNP010000009.1 -         Sodium               RF03071    cm        1       55    31399    31455      +    no    1 0.37   0.0   62.9     1e-07 !   Clostridium sp. C2-6-12 NODE_9_length_178722_cov_292.596490, whole genome shotgun sequence
NZ_CP009268.1        -         Sodium               RF03071    cm        1       55  3036549  3036605      +    no    1 0.35   0.0   62.9     1e-07 !   Clostridium pasteurianum DSM 525 = ATCC 6013 strain DSM 525 chromosome, complete genome
NZ_CP073653.1        -         Sodium               RF03071    cm        1       55  3352669  3352614      -    no    1 0.36   0.0   62.7   1.2e-07 !   Clostridium beijerinckii strain DSM 791 chromosome, complete genome
NZ_CM001240.1        -         Sodium               RF03071    cm        1       55  4935516  4935461      -    no    1 0.36   0.0   62.7   1.2e-07 !   Clostridium sp. DL-VIII chromosome, whole genome shotgun sequence
NZ_LGVB01000015.1    -         Sodium               RF03071    cm        1       55    19454    19514      +    no    1 0.34   0.0   61.9   1.8e-07 !   Clostridium sp. DMHC 10 contig_15, whole genome shotgun sequence
DGES01000009.1       -         Sodium               RF03071    cm        1       55    46635    46577      -    no    1 0.42   0.0   61.8   1.9e-07 !   TPA_asm: Firmicutes bacterium UBA3920 UBA3920_contig_2197, whole genome shotgun sequence
NZ_QFFZ01000015.1    -         Sodium               RF03071    cm        1       55    36261    36316      +    no    1 0.43   0.1   61.6   2.1e-07 !   Pelotomaculum propionicicum strain MGP Pmgp_15, whole genome shotgun sequence
LFSC01000025.1       -         Sodium               RF03071    cm        1       55     3275     3216      -    no    1 0.48   0.0   61.6   2.1e-07 !   MAG: Clostridiaceae bacterium DTU079 scaffold12311, whole genome shotgun sequence
NZ_CP025746.1        -         Sodium               RF03071    cm        1       55  2063350  2063294      -    no    1 0.37   0.0   61.6   2.1e-07 !   Clostridium sp. CT4 chromosome, complete genome
NZ_LWAE01000007.1    -         Sodium               RF03071    cm        1       55   174619   174567      -    no    1 0.47   0.0   61.6   2.2e-07 !   Clostridium magnum DSM 2767 CLMAG_contig000007, whole genome shotgun sequence
NC_011898.1          -         Sodium               RF03071    cm        1       55  1368009  1367955      -    no    1 0.47   0.0   61.5   2.3e-07 !   Ruminiclostridium cellulolyticum H10, complete sequence
NZ_QZWZ01000262.1    -         Sodium               RF03071    cm        1       55      344      289      -    no    1 0.34   0.0   61.4   2.5e-07 !   Mesorhizobium waimense strain ICMP19557 NODE_262_length_380_cov_0.873518, whole genome shotgun sequence
NC_003030.1          -         Sodium               RF03071    cm        1       55   513621   513566      -    no    1 0.34   0.0   61.4   2.5e-07 !   Clostridium acetobutylicum ATCC 824, complete sequence
NC_022571.1          -         Sodium               RF03071    cm        1       55  3660357  3660300      -    no    1 0.38   0.0   61.3   2.6e-07 !   Clostridium saccharobutylicum DSM 13864, complete sequence
NZ_JAABNO010000002.1 -         Sodium               RF03071    cm        1       55   205294   205238      -    no    1 0.39   0.0   61.0     3e-07 !   Clostridium sp. C8-1-8 NODE_2_length_436768_cov_253.084568, whole genome shotgun sequence
NZ_CP032416.1        -         Sodium               RF03071    cm        1       55  2600662  2600607      -    no    1 0.30   0.0   60.9   3.2e-07 !   Clostridium fermenticellae strain JN500901 chromosome, complete genome
NC_021182.1          -         Sodium               RF03071    cm        1       55  1323766  1323710      -    no    1 0.33   0.2   60.8   3.4e-07 !   Clostridium pasteurianum BC1, complete sequence
NZ_JABBNI010000018.1 -         Sodium               RF03071    cm        1       55     3548     3603      +    no    1 0.32   0.0   60.8   3.5e-07 !   Clostridium sp. P21 NODE_23_length_94002_cov_128.626290, whole genome shotgun sequence
NZ_CP009933.1        -         Sodium               RF03071    cm        1       55  2733966  2733911      -    no    1 0.32   0.0   60.8   3.5e-07 !   Clostridium scatologenes strain ATCC 25775 chromosome, complete genome
NZ_JIBU02000072.1    -         Sodium               RF03071    cm        1       55    25649    25594      -    no    1 0.32   0.0   60.8   3.5e-07 !   Clostridium drakei strain SL1 contig_72, whole genome shotgun sequence
JAAZML010000014.1    -         Sodium               RF03071    cm        1       55    23412    23469      +    no    1 0.52   0.0   60.8   3.5e-07 !   MAG: Clostridium sp. isolate AS23ysBPME_38 59146_AS23, whole genome shotgun sequence
NZ_JH556658.1        -         Sodium               RF03071    cm        1       55   552835   552894      +    no    1 0.42   0.0   60.7   3.8e-07 !   Hungateiclostridium cellulolyticum CD2 Acecescaffold_8, whole genome shotgun sequence
DHEX01000146.1       -         Sodium               RF03071    cm        1       55    26566    26622      +    no    1 0.40   0.0   60.5   4.1e-07 !   MAG TPA_asm: Clostridiaceae bacterium UBA4839 UBA4839_contig_2464, whole genome shotgun sequence
NZ_JAFJZZ010000003.1 -         Sodium               RF03071    cm        1       55    46682    46628      -    no    1 0.36   0.0   60.5   4.2e-07 !   Clostridium aminobutyricum strain DSM 2634 3, whole genome shotgun sequence
NZ_JAGGLM010000020.1 -         Sodium               RF03071    cm        1       55    11548    11604      +    no    1 0.37   0.0   60.4   4.4e-07 !   Clostridium algifaecis strain DSM 28783 Ga0454146_20, whole genome shotgun sequence
NC_015958.1          -         Sodium               RF03071    cm        1       55   271969   271915      -    no    1 0.45   0.0   60.2     5e-07 !   Thermoanaerobacter wiegelii Rt8.B1, complete sequence
NZ_FQUR01000006.1    -         Sodium               RF03071    cm        1       55   150733   150679      -    no    1 0.45   0.0   60.2     5e-07 !   Thermoanaerobacter uzonensis DSM 18761, whole genome shotgun sequence
NC_015555.1          -         Sodium               RF03071    cm        1       55  2477960  2478012      +    no    1 0.43   0.0   60.2     5e-07 !   Thermoanaerobacterium xylanolyticum LX-11, complete sequence
NZ_CP017634.1        -         Sodium               RF03071    cm        1       55  3750337  3750387      +    no    1 0.43   0.0   60.2     5e-07 !   Candidatus Formimonas warabiya strain DCMF chromosome, complete genome
DDXI01000112.1       -         Sodium               RF03071    cm        1       55    15036    14982      -    no    1 0.42   0.0   60.1   5.2e-07 !   MAG TPA_asm: Peptococcaceae bacterium UBA2264 UBA2264_contig_20379, whole genome shotgun sequence
NZ_JNLE01000003.1    -         Sodium               RF03071    cm        1       55  2215168  2215223      +    no    1 0.41   0.0   60.0   5.4e-07 !   Clostridium sp. KNHs205 BR73DRAFT_scf7180000000014_quiver.3_C, whole genome shotgun sequence
NZ_CP009170.1        -         Sodium               RF03071    cm        1       55   211445   211391      -    no    1 0.42   0.0   59.8   6.1e-07 !   Thermoanaerobacter kivui strain LKT-1 chromosome, complete genome
AP024169.1           -         Sodium               RF03071    cm        1       55  2484389  2484333      -    no    1 0.39   0.0   59.7   6.4e-07 !   Lachnospiraceae bacterium TB5 DNA, complete genome
DBTI01000210.1       -         Sodium               RF03071    cm        1       55     1684     1633      -    no    1 0.54   0.0   59.6   6.9e-07 !   MAG TPA_asm: Ruminococcaceae bacterium UBA1320 UBA1320_contig_23253, whole genome shotgun sequence
NZ_QNRX01000010.1    -         Sodium               RF03071    cm        1       55    52232    52181      -    no    1 0.42   0.0   59.6   7.1e-07 !   Alkalibaculum bacchi strain DSM 22112 Ga0244545_110, whole genome shotgun sequence
NZ_BAEV01000060.1    -         Sodium               RF03071    cm        1       55     1339     1395      +    no    1 0.32   0.1   59.2   8.6e-07 !   Clostridium arbusti SL206, whole genome shotgun sequence
NZ_RXYB01000011.1    -         Sodium               RF03071    cm        1       55    19314    19259      -    no    1 0.41   0.0   59.2     9e-07 !   Acetobacterium tundrae strain DSM 917 NODE_11_length_112500_cov_22.463, whole genome shotgun sequence
JACQZP010000026.1    -         Sodium               RF03071    cm        1       55   227735   227677      -    no    1 0.42   0.0   59.1   9.1e-07 !   MAG: Acetobacterium woodii isolate NC_groundwater_1570_Pr3_B-0.1um_42_151 SR-2_scaffold_141_2456125, whole genome shotgun sequence
NZ_LZYT01000010.1    -         Sodium               RF03071    cm        1       55     8908     8852      -    no    1 0.32   0.0   59.0   9.6e-07 !   Clostridium felsineum DSM 794 CLFE_contig000010, whole genome shotgun sequence
JAAYUV010000066.1    -         Sodium               RF03071    cm        1       55    43355    43300      -    no    1 0.43   0.0   59.0   9.7e-07 !   MAG: Peptococcaceae bacterium isolate AS27yjCOA_185 93150_AS27, whole genome shotgun sequence
NZ_LITT01000058.1    -         Sodium               RF03071    cm        1       55   265141   265199      +    no    1 0.32   0.0   59.0     1e-06 !   Clostridium ljungdahlii strain ERI-2 scaffold5, whole genome shotgun sequence
NZ_CP029758.2        -         Sodium               RF03071    cm        1       55   944597   944655      +    no    1 0.32   0.0   59.0     1e-06 !   Clostridium sp. AWRP chromosome, complete genome
NC_014328.1          -         Sodium               RF03071    cm        1       55   993389   993447      +    no    1 0.32   0.0   59.0     1e-06 !   Clostridium ljungdahlii DSM 13528, complete sequence
NZ_LROS01000008.1    -         Sodium               RF03071    cm        1       55     4174     4116      -    no    1 0.32   0.0   59.0     1e-06 !   Clostridium ragsdalei P11 CLRAG_contig000008, whole genome shotgun sequence
NC_009706.1          -         Sodium               RF03071    cm        1       55   479817   479873      +    no    1 0.28   0.1   59.0     1e-06 !   Clostridium kluyveri DSM 555, complete sequence
NC_014410.1          -         Sodium               RF03071    cm        1       55  2735373  2735425      +    no    1 0.45   0.0   58.9     1e-06 !   Thermoanaerobacterium thermosaccharolyticum DSM 571, complete sequence
NZ_CP011803.1        -         Sodium               RF03071    cm        1       55   506024   506079      +    no    1 0.34   0.0   58.7   1.2e-06 !   Clostridium carboxidivorans P7 chromosome, complete genome
NZ_AZQP01000014.1    -         Sodium               RF03071    cm        1       55    20754    20807      +    no    1 0.43   0.0   58.7   1.2e-06 !   Fervidicella metallireducens AeB contig00014, whole genome shotgun sequence
USAP01000060.1       -         Sodium               RF03071    cm        1       55      617      672      +    no    1 0.34   0.0   58.7   1.2e-06 !   uncultured Clostridiales bacterium isolate UMGS1540 genome assembly, contig: NODE_4286_length_10190_cov_3.983091, whole genome shotgun sequence
NZ_LWAE01000007.1    -         Sodium               RF03071    cm        1       55   171655   171715      +    no    1 0.38   0.1   58.5   1.3e-06 !   Clostridium magnum DSM 2767 CLMAG_contig000007, whole genome shotgun sequence
NZ_BCVR01000006.1    -         Sodium               RF03071    cm        1       55    63683    63739      +    no    1 0.33   0.0   58.2   1.6e-06 !   Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 = CIP 76.13 strain NBRC 13951, whole genome shotgun sequence
JADBKJ010000012.1    -         Sodium               RF03071    cm        1       55    93449    93503      +    no    1 0.47   0.0   58.1   1.7e-06 !   Thermoanaerobacter sp. isolate Bu09 bin.9_contig12, whole genome shotgun sequence
CP033580.1           -         Sodium               RF03071    cm        1       55   703491   703437      -    no    1 0.47   0.0   58.1   1.7e-06 !   Thermoanaerobacter ethanolicus JW 200 chromosome, complete genome
AVAF01000087.1       -         Sodium               RF03071    cm        1       55    34177    34123      -    no    1 0.47   0.0   58.1   1.7e-06 !   Thermoanaerobacter sp. A7A NODE_2627.15_length_58182_cov_149.272034, whole genome shotgun sequence
NZ_JH556658.1        -         Sodium               RF03071    cm        1       55   540594   540650      +    no    1 0.47   0.0   58.0   1.8e-06 !   Hungateiclostridium cellulolyticum CD2 Acecescaffold_8, whole genome shotgun sequence
NZ_JAESWA010000023.1 -         Sodium               RF03071    cm        1       55   260847   260901      +    no    1 0.35   0.0   57.9   1.8e-06 !   Clostridium sp. YIM B02565 GCM70020046_23, whole genome shotgun sequence
DHGV01000038.1       -         Sodium               RF03071    cm        1       55    26515    26458      -    no    1 0.43   0.0   57.9   1.9e-06 !   MAG TPA_asm: Pelotomaculum sp. UBA4789 UBA4789_contig_22883, whole genome shotgun sequence
PGZZ01000006.1       -         Sodium               RF03071    cm        1       55   106717   106767      +    no    1 0.53   0.0   57.7   2.1e-06 !   Firmicutes bacterium HGW-Firmicutes-16 bjp_ig2069_scaffold_83, whole genome shotgun sequence
VEPD01000352.1       -         Sodium               RF03071    cm        1       55      616      561      -    no    1 0.50   0.0   57.6   2.2e-06 !   MAG: Ruminiclostridium sp. isolate MnB_11 Mn-Ruminiclostridium-1_247103, whole genome shotgun sequence
PGZZ01000007.1       -         Sodium               RF03071    cm        1       55    48233    48283      +    no    1 0.49   0.0   57.6   2.3e-06 !   Firmicutes bacterium HGW-Firmicutes-16 bjp_ig2069_scaffold_91, whole genome shotgun sequence
NZ_RXYA01000007.1    -         Sodium               RF03071    cm        1       55    54956    55011      +    no    1 0.41   0.0   57.5   2.4e-06 !   Acetobacterium paludosum strain DSM 8237 NODE_7_length_179628_cov_35.5344, whole genome shotgun sequence
AP009389.1           -         Sodium               RF03071    cm        1       55   434891   434834      -    no    1 0.45   0.0   57.3   2.7e-06 !   Pelotomaculum thermopropionicum SI DNA, complete genome
NZ_LGTC01000001.1    -         Sodium               RF03071    cm        1       55  5436627  5436680      +    no    1 0.50   0.0   57.1     3e-06 !   Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933 ctg1, whole genome shotgun sequence
NZ_SLUN01000026.1    -         Sodium               RF03071    cm        1       55    83068    83127      +    no    1 0.42   0.0   57.1     3e-06 !   Hydrogenispora ethanolica strain LX-B Ga0244694_1026, whole genome shotgun sequence
NZ_ADNY01000026.1    -         Sodium               RF03071    cm        1       55     4588     4533      -    no    1 0.30   0.0   57.0   3.2e-06 !   Lactobacillus amylolyticus DSM 11664 contig00030, whole genome shotgun sequence
NZ_JAGGLU010000008.1 -         Sodium               RF03071    cm        1       55    36767    36818      +    no    1 0.29   0.0   56.8   3.6e-06 !   Lactobacillus colini strain DSM 101872 Ga0454154_08, whole genome shotgun sequence
NZ_BMBA01000007.1    -         Sodium               RF03071    cm        1       55   155658   155713      +    no    1 0.41   0.0   56.8   3.7e-06 !   Clostridium sp. CSC2 sequence07, whole genome shotgun sequence
NZ_FMXC01000011.1    -         Sodium               RF03071    cm        1       55    14131    14075      -    no    1 0.35   0.0   56.8   3.7e-06 !   Lactobacillus kefiranofaciens strain ATCC 43761, whole genome shotgun sequence
NZ_BALU01000001.1    -         Sodium               RF03071    cm        1       55   153853   153910      +    no    1 0.34   0.0   56.6     4e-06 !   Lactobacillus kitasatonis DSM 16761 = JCM 1039, whole genome shotgun sequence
DULG01000021.1       -         Sodium               RF03071    cm        1       55    25251    25197      -    no    1 0.49   0.0   56.5   4.3e-06 !   TPA_asm: Clostridia bacterium isolate AS04akNAM_103 7427_AS04, whole genome shotgun sequence
NZ_AORV01000068.1    -         Sodium               RF03071    cm        1       55    71821    71765      -    no    1 0.44   0.0   56.4   4.5e-06 !   Ruminiclostridium cellobioparum subsp. termitidis CT1112 Ct_contig00082, whole genome shotgun sequence
NZ_CP063304.1        -         Sodium               RF03071    cm        1       55  1068592  1068650      +    no    1 0.41   0.0   56.2   5.1e-06 !   Blautia sp. LZLJ-3 chromosome, complete genome
NZ_ACXX02000001.1    -         Sodium               RF03071    cm        1       55   253505   253451      -    no    1 0.49   0.0   56.1   5.5e-06 !   Ruminiclostridium papyrosolvens DSM 2782 ctg65, whole genome shotgun sequence
DFAP01000082.1       -         Sodium               RF03071    cm        1       55     5613     5670      +    no    1 0.47   0.0   56.0   5.6e-06 !   MAG TPA_asm: Pelotomaculum sp. UBA3103 UBA3103_contig_3011, whole genome shotgun sequence
NZ_GG700752.1        -         Sodium               RF03071    cm        1       55   125691   125635      -    no    1 0.37   0.0   55.9   6.1e-06 !   Lactobacillus helveticus DSM 20075 = CGMCC 1.1877 strain DSM 20075 SCAFFOLD1, whole genome shotgun sequence
NZ_JAEEGB010000004.1 -         Sodium               RF03071    cm        1       55     8817     8870      +    no    1 0.37   0.0   55.7   6.7e-06 !   Clostridium aciditolerans strain DSM 17425 DSM17425_contig_4, whole genome shotgun sequence
NZ_AP018549.1        -         Sodium               RF03071    cm        1       55  1853962  1854012      +    no    1 0.31   0.0   55.6   7.1e-06 !   Lactobacillus paragasseri strain JCM 5343 chromosome, complete genome
NC_008530.1          -         Sodium               RF03071    cm        1       55  1813723  1813773      +    no    1 0.31   0.0   55.6   7.1e-06 !   Lactobacillus gasseri ATCC 33323 = JCM 1131, complete sequence
NZ_CP047602.1        -         Sodium               RF03071    cm        1       55    89029    88978      -    no    1 0.50   0.0   55.6   7.2e-06 !   Thermoanaerobacterium aotearoense strain SCUT27 chromosome, complete genome
NZ_BBKT01000059.1    -         Sodium               RF03071    cm        1       55    30536    30485      -    no    1 0.50   0.0   55.6   7.2e-06 !   Thermoanaerobacterium saccharolyticum strain NTOU1, whole genome shotgun sequence
DFRY01000011.1       -         Sodium               RF03071    cm        1       55    17563    17614      +    no    1 0.56   0.0   55.6   7.4e-06 !   MAG TPA_asm: Ruminococcaceae bacterium UBA3451 UBA3451_contig_405, whole genome shotgun sequence
DBTI01000169.1       -         Sodium               RF03071    cm        1       55    22401    22351      -    no    1 0.55   0.0   55.4     8e-06 !   MAG TPA_asm: Ruminococcaceae bacterium UBA1320 UBA1320_contig_2397, whole genome shotgun sequence
CAJURR010000031.1    -         Sodium               RF03071    cm        1       55    23329    23378      +    no    1 0.32   0.0   55.4     8e-06 !   TPA_asm: uncultured Lactobacillus sp. isolate MGBC162746 genome assembly, contig: MGBC162746.31, whole genome shotgun sequence
LM995447.1           -         Sodium               RF03071    cm        1       55  1830287  1830336      +    no    1 0.46   0.0   55.4   8.1e-06 !   [Clostridium] cellulosi genome assembly DG5, chromosome : I
NZ_ML136873.1        -         Sodium               RF03071    cm        1       55    29024    29075      +    no    1 0.37   0.0   55.4   8.3e-06 !   Lactobacillus xujianguonis strain HT111-2 Scaffold3, whole genome shotgun sequence
NZ_JACGAG010000002.1 -         Sodium               RF03071    cm        1       55   165670   165615      -    no    1 0.36   0.0   55.3   8.4e-06 !   Clostridium sp. cel8 contig2, whole genome shotgun sequence
NZ_JAEEGB010000018.1 -         Sodium               RF03071    cm        1       55    59708    59656      -    no    1 0.43   0.0   55.3   8.8e-06 !   Clostridium aciditolerans strain DSM 17425 DSM17425_contig_18, whole genome shotgun sequence
DLFX01000025.1       -         Sodium               RF03071    cm        1       55    12597    12541      -    no    1 0.49   0.0   55.2   8.9e-06 !   TPA_asm: Firmicutes bacterium UBA7709 UBA7709_contig_11279, whole genome shotgun sequence
NZ_WJBC01000016.1    -         Sodium               RF03071    cm        1       55    26216    26161      -    no    1 0.45   0.0   55.1   9.6e-06 !   Acetobacterium fimetarium strain DER-2019 NODE_16_length_67904_cov_12.6167, whole genome shotgun sequence
NZ_KK211336.1        -         Sodium               RF03071    cm        1       55    53285    53338      +    no    1 0.41   0.0   55.0     1e-05 !   Clostridium beijerinckii HUN142 T483DRAFT_scaffold00002.2, whole genome shotgun sequence
