#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_QXDJ01000004.1    -         Sodium               RF03071    cm        1       55   191602   191658      +    no    1 0.37   0.0   66.8   2.5e-09 !   Clostridium chromiireducens strain C1 Scaffold4, whole genome shotgun sequence
NZ_CP073653.1        -         Sodium               RF03071    cm        1       55  1691457  1691514      +    no    1 0.36   0.0   66.6   2.7e-09 !   Clostridium beijerinckii strain DSM 791 chromosome, complete genome
NZ_LZZM01000042.1    -         Sodium               RF03071    cm        1       55     4620     4563      -    no    1 0.36   0.0   66.6   2.7e-09 !   Clostridium puniceum strain DSM 2619 CLPUN_contig000042, whole genome shotgun sequence
NZ_CP043998.1        -         Sodium               RF03071    cm        1       55  1660241  1660298      +    no    1 0.36   0.0   66.6   2.7e-09 !   Clostridium diolis strain DSM 15410 chromosome, complete genome
NZ_FOJI01000007.1    -         Sodium               RF03071    cm        1       55    55127    55071      -    no    1 0.33   0.0   64.7   8.2e-09 !   [Clostridium] fimetarium strain DSM 9179, whole genome shotgun sequence
NZ_CP009933.1        -         Sodium               RF03071    cm        1       55  3538270  3538213      -    no    1 0.34   0.0   64.1   1.2e-08 !   Clostridium scatologenes strain ATCC 25775 chromosome, complete genome
NZ_CP020953.1        -         Sodium               RF03071    cm        1       55   770921   770978      +    no    1 0.34   0.0   64.1   1.2e-08 !   Clostridium drakei strain SL1 chromosome, complete genome
NC_022571.1          -         Sodium               RF03071    cm        1       55  1866536  1866591      +    no    1 0.39   0.0   63.9   1.4e-08 !   Clostridium saccharobutylicum DSM 13864, complete sequence
NC_014393.1          -         Sodium               RF03071    cm        1       55  4379773  4379830      +    no    1 0.40   0.0   63.8   1.4e-08 !   Clostridium cellulovorans 743B, complete sequence
NC_020291.1          -         Sodium               RF03071    cm        1       55  3100932  3100987      +    no    1 0.36   0.0   63.6   1.6e-08 !   Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence
NZ_JAGE01000001.1    -         Sodium               RF03071    cm        1       55  2650292  2650238      -    no    1 0.47   0.0   63.3     2e-08 !   Ruminiclostridium josui JCM 17888 K412DRAFT_scf7180000000006_quiver.1_C, whole genome shotgun sequence
NZ_QXDJ01000004.1    -         Sodium               RF03071    cm        1       55   313122   313067      -    no    1 0.39   0.0   63.2     2e-08 !   Clostridium chromiireducens strain C1 Scaffold4, whole genome shotgun sequence
NZ_BAEV01000004.1    -         Sodium               RF03071    cm        1       55    37838    37781      -    no    1 0.34   0.0   63.1   2.1e-08 !   Clostridium arbusti SL206, whole genome shotgun sequence
NZ_CP013019.1        -         Sodium               RF03071    cm        1       55  3036312  3036368      +    no    1 0.35   0.0   63.0   2.3e-08 !   Clostridium pasteurianum strain M150B chromosome, complete genome
NZ_CP073653.1        -         Sodium               RF03071    cm        1       55  3352669  3352614      -    no    1 0.36   0.0   62.7   2.7e-08 !   Clostridium beijerinckii strain DSM 791 chromosome, complete genome
NZ_JAEACT010000004.1 -         Sodium               RF03071    cm        1       55   427067   427122      +    no    1 0.36   0.0   62.6   2.9e-08 !   Clostridium hydrogenum strain CUEA01 2_pilon, whole genome shotgun sequence
NZ_JAJNKE010000045.1 -         Sodium               RF03071    cm        1       55    16963    16903      -    no    1 0.34   0.0   61.9   4.4e-08 !   Clostridium guangxiense strain WZ_1 scaffold45, whole genome shotgun sequence
NC_011898.1          -         Sodium               RF03071    cm        1       55  1368009  1367955      -    no    1 0.47   0.0   61.7   5.1e-08 !   Ruminiclostridium cellulolyticum H10, complete sequence
NZ_FQXL01000033.1    -         Sodium               RF03071    cm        1       55    57428    57376      -    no    1 0.47   0.0   61.6   5.1e-08 !   Clostridium magnum DSM 2767, whole genome shotgun sequence
NZ_CP025746.1        -         Sodium               RF03071    cm        1       55  2063350  2063294      -    no    1 0.37   0.0   61.6   5.2e-08 !   Clostridium manihotivorum strain CT4 chromosome, complete genome
NZ_QFFZ01000015.1    -         Sodium               RF03071    cm        1       55    36261    36316      +    no    1 0.43   0.1   61.6   5.3e-08 !   Pelotomaculum propionicicum strain MGP Pmgp_15, whole genome shotgun sequence
NC_015687.1          -         Sodium               RF03071    cm        1       55   513612   513557      -    no    1 0.34   0.0   61.5   5.7e-08 !   Clostridium acetobutylicum DSM 1731, complete sequence
NZ_QZWZ01000262.1    -         Sodium               RF03071    cm        1       55      344      289      -    no    1 0.34   0.0   61.5   5.7e-08 !   Mesorhizobium waimense strain ICMP19557 NODE_262_length_380_cov_0.873518, whole genome shotgun sequence
NC_022571.1          -         Sodium               RF03071    cm        1       55  3660357  3660300      -    no    1 0.38   0.0   61.2   6.6e-08 !   Clostridium saccharobutylicum DSM 13864, complete sequence
NZ_CP032416.1        -         Sodium               RF03071    cm        1       55  2600662  2600607      -    no    1 0.30   0.0   61.0   7.4e-08 !   Clostridium fermenticellae strain JN500901 chromosome, complete genome
NZ_JAFJZZ010000003.1 -         Sodium               RF03071    cm        1       55    46682    46628      -    no    1 0.36   0.0   61.0   7.5e-08 !   Clostridium aminobutyricum strain DSM 2634 3, whole genome shotgun sequence
NZ_CP009933.1        -         Sodium               RF03071    cm        1       55  2733966  2733911      -    no    1 0.32   0.0   60.8   8.2e-08 !   Clostridium scatologenes strain ATCC 25775 chromosome, complete genome
NZ_CP020953.1        -         Sodium               RF03071    cm        1       55  1571814  1571869      +    no    1 0.32   0.0   60.8   8.2e-08 !   Clostridium drakei strain SL1 chromosome, complete genome
NZ_JABBNI010000018.1 -         Sodium               RF03071    cm        1       55     3548     3603      +    no    1 0.32   0.0   60.8   8.2e-08 !   Clostridium muellerianum strain P21 NODE_23_length_94002_cov_128.626290, whole genome shotgun sequence
NC_015555.1          -         Sodium               RF03071    cm        1       55  2477960  2478012      +    no    1 0.43   0.0   60.7   8.7e-08 !   Thermoanaerobacterium xylanolyticum LX-11, complete sequence
NZ_JH556658.1        -         Sodium               RF03071    cm        1       55   552835   552894      +    no    1 0.42   0.0   60.6   9.5e-08 !   Acetivibrio cellulolyticus CD2 Acecescaffold_8, whole genome shotgun sequence
NC_015958.1          -         Sodium               RF03071    cm        1       55   271969   271915      -    no    1 0.45   0.0   60.5   9.9e-08 !   Thermoanaerobacter wiegelii Rt8.B1, complete sequence
NZ_FQUR01000006.1    -         Sodium               RF03071    cm        1       55   150733   150679      -    no    1 0.45   0.0   60.5   9.9e-08 !   Thermoanaerobacter uzonensis DSM 18761, whole genome shotgun sequence
NZ_CP017634.1        -         Sodium               RF03071    cm        1       55  3750337  3750387      +    no    1 0.43   0.0   60.5     1e-07 !   Candidatus Formimonas warabiya strain DCMF chromosome, complete genome
