#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_JTDN01000001.1    -         nhaA-I               RF03057    cm        1       55  2084804  2084864      +    no    1 0.67   0.0   57.9   2.1e-06 !   Croceibacterium mercuriale strain Coronado scaffold_0, whole genome shotgun sequence
NZ_WVTD01000008.1    -         nhaA-I               RF03057    cm        1       55   157649   157596      -    no    1 0.69   0.0   57.6   2.6e-06 !   Novosphingobium sp. FGD1 NODE_8_length_190061_cov_34.815699, whole genome shotgun sequence
NZ_FONX01000003.1    -         nhaA-I               RF03057    cm        1       55    62395    62446      +    no    1 0.77   0.1   57.5   2.7e-06 !   Acidovorax wautersii strain DSM 27981, whole genome shotgun sequence
NZ_JACYFT010000002.1 -         nhaA-I               RF03057    cm        1       55   872042   872094      +    no    1 0.68   0.0   57.4   2.8e-06 !   Limnohabitans radicicola strain JUR4 contig2, whole genome shotgun sequence
NZ_RAWG01000051.1    -         nhaA-I               RF03057    cm        1       55     9410     9353      -    no    1 0.72   0.0   57.3     3e-06 !   Corallococcus sicarius strain CA040B NODE_51_42284_cov_45.8614, whole genome shotgun sequence
NC_009937.1          -         nhaA-I               RF03057    cm        1       55  1486639  1486584      -    no    1 0.70   0.0   56.9   3.8e-06 !   Azorhizobium caulinodans ORS 571, complete sequence
NZ_JAAIYB010000032.1 -         nhaA-I               RF03057    cm        1       55    32169    32121      -    no    1 0.71   0.0   56.4   4.8e-06 !   Myxococcus vastator strain AM301 NODE_32_length_35140_cov_12.0947, whole genome shotgun sequence
NZ_JABULH010000002.1 -         nhaA-I               RF03057    cm        1       55    39803    39857      +    no    1 0.75   0.1   56.4   4.9e-06 !   Sphingomonas hominis strain HHU CXW Contig002_676735, whole genome shotgun sequence
NZ_BCWP01000018.1    -         nhaA-I               RF03057    cm        1       55    44711    44662      -    no    1 0.66   0.0   56.4   4.9e-06 !   Curvibacter delicatus NBRC 14919, whole genome shotgun sequence
NZ_FNAJ01000010.1    -         nhaA-I               RF03057    cm        1       55    80487    80439      -    no    1 0.71   0.0   56.3   5.3e-06 !   Myxococcus virescens strain DSM 2260, whole genome shotgun sequence
NC_008095.1          -         nhaA-I               RF03057    cm        1       55  7494965  7495013      +    no    1 0.71   0.0   56.3   5.3e-06 !   Myxococcus xanthus DK 1622, complete sequence
NC_008825.1          -         nhaA-I               RF03057    cm        1       55   404714   404769      +    no    1 0.75   0.1   56.2   5.4e-06 !   Methylibium petroleiphilum PM1, complete sequence
NZ_JACIDP010000001.1 -         nhaA-I               RF03057    cm        1       55   355365   355309      -    no    1 0.70   0.1   56.1   5.7e-06 !   Aureimonas jatrophae strain L7-484,KACC 16230,DSM 25025 Ga0373235_01, whole genome shotgun sequence
NZ_JACIVI010000001.1 -         nhaA-I               RF03057    cm        1       55    26743    26795      +    no    1 0.75   0.1   56.1   5.8e-06 !   Aquariibacter albus strain SJAQ100 contig1, whole genome shotgun sequence
NZ_QQNB01000004.1    -         nhaA-I               RF03057    cm        1       55    39490    39438      -    no    1 0.70   0.0   56.1   5.8e-06 !   Sphingomonas aracearum strain WZY 27 NODE_4_length_144644_cov_41.700333, whole genome shotgun sequence
NZ_JAIOKB010000002.1 -         nhaA-I               RF03057    cm        1       55   425771   425828      +    no    1 0.83   5.0   56.1   5.8e-06 !   Sphingomonas yunnanensis strain YIM 3 NODE_2_length_767825_cov_81.544988, whole genome shotgun sequence
NZ_CP049107.1        -         nhaA-I               RF03057    cm        1       55  2252233  2252287      +    no    1 0.71   0.1   56.0   6.1e-06 !   Rhizorhabdus phycosphaerae strain MK52 chromosome, complete genome
NZ_CP009533.1        -         nhaA-I               RF03057    cm        1       55  1400502  1400563      +    no    1 0.66   0.0   56.0   6.3e-06 !   Pseudomonas rhizosphaerae strain DSM 16299 chromosome, complete genome
NZ_SLXD01000031.1    -         nhaA-I               RF03057    cm        1       55     1423     1372      -    no    1 0.81   0.8   55.4   8.4e-06 !   Rubrivivax gelatinosus strain DSM 1709 Ga0310528_131, whole genome shotgun sequence
NZ_FNTZ01000001.1    -         nhaA-I               RF03057    cm        1       55  1488862  1488923      +    no    1 0.66   0.0   55.4   8.6e-06 !   Pseudomonas coleopterorum strain LMG 28558, whole genome shotgun sequence
NZ_CP012109.1        -         nhaA-I               RF03057    cm        1       55   972289   972241      -    no    1 0.78   0.1   55.3   8.9e-06 !   Myxococcus hansupus strain contaminant ex DSM 436 chromosome, complete genome
NZ_RFLX01000003.1    -         nhaA-I               RF03057    cm        1       55   115515   115460      -    no    1 0.75   0.3   55.3   9.2e-06 !   Roseomonas wenyumeiae strain Z23 Scaffold3, whole genome shotgun sequence
NZ_FOGD01000001.1    -         nhaA-I               RF03057    cm        1       55   289637   289585      -    no    1 0.70   0.0   55.2   9.4e-06 !   Giesbergeria anulus strain ATCC 35958, whole genome shotgun sequence
NZ_JACIJN010000004.1 -         nhaA-I               RF03057    cm        1       55   199033   199088      +    no    1 0.68   0.0   55.1     1e-05 !   Sphingomonas endophytica strain DSM 101535 Ga0373358_04, whole genome shotgun sequence
NZ_JAAOCD010000009.1 -         nhaA-I               RF03057    cm        1       55     2315     2366      +    no    1 0.79   0.5   55.1     1e-05 !   Rubrivivax benzoatilyticus strain JA2-Mal 9, whole genome shotgun sequence
NZ_NBBI01000001.1    -         nhaA-I               RF03057    cm        1       55   444698   444753      +    no    1 0.73   0.1   55.0   1.1e-05 !   Sphingomonas dokdonensis strain DSM 21029 SPDO_contig000001, whole genome shotgun sequence
NZ_JAASQQ010000007.1 -         nhaA-I               RF03057    cm        1       55   121817   121868      +    no    1 0.67   0.0   54.9   1.1e-05 !   Sphingomonas insulae strain DSM 21792 Ga0373324_07, whole genome shotgun sequence
NZ_WJIE01000003.1    -         nhaA-I               RF03057    cm        1       55   839614   839662      +    no    1 0.71   0.0   54.8   1.2e-05 !   Polyangium spumosum strain DSM 14734 Scaffold3, whole genome shotgun sequence
NZ_PJRS01000006.1    -         nhaA-I               RF03057    cm        1       55    16561    16614      +    no    1 0.74   0.1   54.8   1.2e-05 !   Caulobacter zeae strain 410 SGCZ5, whole genome shotgun sequence
NZ_SSMQ01000013.1    -         nhaA-I               RF03057    cm        1       55   176640   176688      +    no    1 0.71   0.0   54.7   1.3e-05 !   Polyangium fumosum strain DSM 14668 Scaffold13_1, whole genome shotgun sequence
NC_015677.1          -         nhaA-I               RF03057    cm        1       55  1201949  1202001      +    no    1 0.85   6.9   54.5   1.4e-05 !   Ramlibacter tataouinensis TTB310, complete sequence
NZ_CP011125.1        -         nhaA-I               RF03057    cm        1       55  6712094  6712045      -    no    1 0.80   0.4   54.3   1.5e-05 !   Sandaracinus amylolyticus strain DSM 53668 chromosome, complete genome
NZ_BBWT01000008.1    -         nhaA-I               RF03057    cm        1       55   286606   286552      -    no    1 0.76   0.2   54.3   1.6e-05 !   Aureimonas ureilytica DSM 18598 = NBRC 106430, whole genome shotgun sequence
NZ_BPRB01000163.1    -         nhaA-I               RF03057    cm        1       55     1297     1353      +    no    1 0.77   0.3   54.3   1.6e-05 !   Methylobacterium trifolii strain DSM 23632 entry163, whole genome shotgun sequence
NZ_BPQP01000034.1    -         nhaA-I               RF03057    cm        1       55    66046    65992      -    no    1 0.75   0.1   54.2   1.6e-05 !   Methylobacterium iners strain DSM 19015 entry34, whole genome shotgun sequence
NZ_QAOG01000007.1    -         nhaA-I               RF03057    cm        1       55   225477   225528      +    no    1 0.63   0.0   54.2   1.7e-05 !   Sphingomonas aurantiaca strain MA101b Ga0191660_107, whole genome shotgun sequence
NC_015138.1          -         nhaA-I               RF03057    cm        1       55  4962505  4962555      +    no    1 0.69   0.0   54.2   1.7e-05 !   Acidovorax avenae subsp. avenae ATCC 19860, complete sequence
NZ_LT907988.1        -         nhaA-I               RF03057    cm        1       55  3427892  3427947      +    no    1 0.62   0.0   54.2   1.7e-05 !   Orrella dioscoreae isolate Orrdi1 chromosome I, complete sequence
NZ_FOQW01000006.1    -         nhaA-I               RF03057    cm        1       55   204388   204332      -    no    1 0.68   0.0   54.1   1.7e-05 !   Methylobacterium brachiatum strain 111MFTsu3.1M4, whole genome shotgun sequence
NZ_CP029373.1        -         nhaA-I               RF03057    cm        1       55  1642451  1642501      +    no    1 0.73   0.0   54.0   1.9e-05 !   Acidovorax citrulli strain M6 chromosome, complete genome
NZ_CP079217.1        -         nhaA-I               RF03057    cm        1       55 11798646 11798598      -    no    1 0.73   0.0   53.8   2.1e-05 !   Polyangium aurulentum strain SDU3-1 chromosome, complete genome
NZ_SGWV01000007.1    -         nhaA-I               RF03057    cm        1       55   519789   519844      +    no    1 0.79   1.4   53.6   2.4e-05 !   Leptothrix mobilis strain DSM 10617 Ga0310535_101, whole genome shotgun sequence
NZ_PRDL01000001.1    -         nhaA-I               RF03057    cm        1       55  2635315  2635260      -    no    1 0.66   0.0   53.4   2.6e-05 !   Cellvibrio polysaccharolyticus strain Ka43 ctg1, whole genome shotgun sequence
NZ_CP054841.1        -         nhaA-I               RF03057    cm        1       55   520038   520090      +    no    1 0.79   1.3   53.4   2.7e-05 !   Acidovorax antarcticus strain 16-35-5 plasmid unnamed1, complete sequence
NZ_KE387203.1        -         nhaA-I               RF03057    cm        1       55   490695   490641      -    no    1 0.71   0.0   53.3   2.7e-05 !   Azohydromonas australica DSM 1124 H537DRAFT_scaffold00001.1, whole genome shotgun sequence
NZ_CVJQ01000001.1    -         nhaA-I               RF03057    cm        1       55  2505439  2505387      -    no    1 0.74   0.2   53.3   2.8e-05 !   Phenylobacterium immobile (ATCC 35973) strain (strain E), whole genome shotgun sequence
NZ_JACHLR010000005.1 -         nhaA-I               RF03057    cm        1       55   182497   182445      -    no    1 0.70   0.6   53.2   2.9e-05 !   Novosphingobium chloroacetimidivorans strain S00245 Ga0436340_05, whole genome shotgun sequence
NZ_JACIFA010000001.1 -         nhaA-I               RF03057    cm        1       55   544726   544672      -    no    1 0.64   0.0   53.2     3e-05 !   Sphingomonas zeae strain DSM 100049 Ga0373351_01, whole genome shotgun sequence
NZ_FOOA01000002.1    -         nhaA-I               RF03057    cm        1       55   105242   105297      +    no    1 0.73   0.0   53.2     3e-05 !   Aureimonas phyllosphaerae strain L9-753,KACC 16231,DSM 25026, whole genome shotgun sequence
NZ_CP032518.1        -         nhaA-I               RF03057    cm        1       55  1456058  1456116      +    no    1 0.63   0.0   53.0   3.2e-05 !   Cupriavidus oxalaticus strain T2 chromosome 1, complete sequence
NZ_CP065670.1        -         nhaA-I               RF03057    cm        1       55  2176901  2176956      +    no    1 0.59   0.0   53.0   3.3e-05 !   Sphingomonas paucimobilis strain FDAARGOS_908 chromosome, complete genome
NZ_JACIDH010000005.1 -         nhaA-I               RF03057    cm        1       55   153135   153186      +    no    1 0.75   0.1   53.0   3.4e-05 !   Sphingomonas pseudosanguinis strain DSM 19512 Ga0373225_05, whole genome shotgun sequence
NZ_NWVC01000003.1    -         nhaA-I               RF03057    cm        1       55   229446   229391      -    no    1 0.70   0.0   52.9   3.4e-05 !   Sphingomonas adhaesiva strain DSM 7418 contig3, whole genome shotgun sequence
NZ_CP039288.1        -         nhaA-I               RF03057    cm        1       55   496834   496892      +    no    1 0.63   0.0   52.8   3.7e-05 !   Cupriavidus necator H16 chromosome 2, complete sequence
NC_010162.1          -         nhaA-I               RF03057    cm        1       55  4580779  4580721      -    no    1 0.76   0.3   52.8   3.7e-05 !   Sorangium cellulosum So ce56, complete sequence
