#target_name         target_accession query_name query_accession mdl mdl_from mdl_to seq_from seq_to  strand trunc pass_ gc   bias score E_value inc description_of_target                                                                                                                                                 
NZ_MZGT01000054.1    -                Sodium     RF03071         cm  1        55     4934     4990    +      no    1     0.37 0.0  66.8  7.6e-09 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000054, whole genome shotgun sequence                                                                        
CP029329.1           -                Sodium     RF03071         cm  1        55     3285283  3285226 -      no    1     0.36 0.0  66.6  8.3e-09 !   Clostridium beijerinckii isolate WB53 chromosome, complete genome                                                                                                     
NZ_AUUU01000077.1    -                Sodium     RF03071         cm  1        55     21477    21420   -      no    1     0.38 0.0  65.9  1.2e-08 !   Clostridium sp. LS contig_85, whole genome shotgun sequence                                                                                                           
NZ_AUUU01000100.1    -                Sodium     RF03071         cm  1        55     49720    49773   +      no    1     0.35 0.0  65.5  1.6e-08 !   Clostridium sp. LS contig_108, whole genome shotgun sequence                                                                                                          
CP029329.1           -                Sodium     RF03071         cm  1        55     3046638  3046695 +      no    1     0.33 0.0  65.4  1.7e-08 !   Clostridium beijerinckii isolate WB53 chromosome, complete genome                                                                                                     
NZ_KK211338.1        -                Sodium     RF03071         cm  1        55     88699    88756   +      no    1     0.38 0.0  65.2  1.9e-08 !   Clostridium beijerinckii HUN142 T483DRAFT_scaffold00011.11, whole genome shotgun sequence                                                                             
NZ_FOJI01000007.1    -                Sodium     RF03071         cm  1        55     55127    55071   -      no    1     0.33 0.0  64.7  2.5e-08 !   [Clostridium] fimetarium strain DSM 9179, whole genome shotgun sequence                                                                                               
NZ_CM001240.1        -                Sodium     RF03071         cm  1        55     4805475  4805419 -      no    1     0.42 0.0  64.5  2.9e-08 !   Clostridium sp. DL-VIII chromosome, whole genome shotgun sequence                                                                                                     
NC_016791.1          -                Sodium     RF03071         cm  1        55     3404265  3404319 +      no    1     0.45 0.0  64.3  3.3e-08 !   Clostridium sp. BNL1100, complete sequence                                                                                                                            
NZ_CP009933.1        -                Sodium     RF03071         cm  1        55     3538270  3538213 -      no    1     0.34 0.0  64.1  3.7e-08 !   Clostridium scatologenes strain ATCC 25775 chromosome, complete genome                                                                                                
NC_022571.1          -                Sodium     RF03071         cm  1        55     1866536  1866591 +      no    1     0.39 0.0  63.9  4.2e-08 !   Clostridium saccharobutylicum DSM 13864, complete sequence                                                                                                            
NC_014393.1          -                Sodium     RF03071         cm  1        55     4379773  4379830 +      no    1     0.4  0.0  63.8  4.3e-08 !   Clostridium cellulovorans 743B, complete sequence                                                                                                                     
NC_020291.1          -                Sodium     RF03071         cm  1        55     3100932  3100987 +      no    1     0.36 0.0  63.6  4.9e-08 !   Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence                                                                                                   
NZ_SULK01000013.1    -                Sodium     RF03071         cm  1        55     91881    91825   -      no    1     0.35 0.0  63.3  5.8e-08 !   Clostridium sp. HBUAS56017 Scaffold13, whole genome shotgun sequence                                                                                                  
NZ_ATAY01000030.1    -                Sodium     RF03071         cm  1        55     33889    33835   -      no    1     0.47 0.0  63.3  6e-08   !   Ruminiclostridium papyrosolvens C7 contig00037, whole genome shotgun sequence                                                                                         
NZ_JAGE01000001.1    -                Sodium     RF03071         cm  1        55     2650292  2650238 -      no    1     0.47 0.0  63.3  6e-08   !   Ruminiclostridium josui JCM 17888 K412DRAFT_scf7180000000006_quiver.1_C, whole genome shotgun sequence                                                                
NZ_MZGT01000071.1    -                Sodium     RF03071         cm  1        55     6973     6918    -      no    1     0.39 0.0  63.2  6.1e-08 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000071, whole genome shotgun sequence                                                                        
NZ_BAEV01000004.1    -                Sodium     RF03071         cm  1        55     37838    37781   -      no    1     0.34 0.0  63.1  6.5e-08 !   Clostridium arbusti SL206, whole genome shotgun sequence                                                                                                              
NZ_CP009268.1        -                Sodium     RF03071         cm  1        55     3036549  3036605 +      no    1     0.35 0.0  63.0  7.1e-08 !   Clostridium pasteurianum DSM 525 = ATCC 6013 strain DSM 525 chromosome, complete genome                                                                               
NZ_JAABNP010000009.1 -                Sodium     RF03071         cm  1        55     31399    31455   +      no    1     0.37 0.0  62.9  7.4e-08 !   Clostridium sp. C2-6-12 NODE_9_length_178722_cov_292.596490, whole genome shotgun sequence                                                                            
NZ_CP073653.1        -                Sodium     RF03071         cm  1        55     3352669  3352614 -      no    1     0.36 0.0  62.7  8.2e-08 !   Clostridium beijerinckii strain DSM 791 chromosome, complete genome                                                                                                   
NZ_LGVB01000015.1    -                Sodium     RF03071         cm  1        55     19454    19514   +      no    1     0.34 0.0  61.9  1.3e-07 !   Clostridium sp. DMHC 10 contig_15, whole genome shotgun sequence                                                                                                      
DGES01000009.1       -                Sodium     RF03071         cm  1        55     46635    46577   -      no    1     0.42 0.0  61.8  1.5e-07 !   TPA_asm: Firmicutes bacterium UBA3920 UBA3920_contig_2197, whole genome shotgun sequence                                                                              
NC_011898.1          -                Sodium     RF03071         cm  1        55     1368009  1367955 -      no    1     0.47 0.0  61.7  1.6e-07 !   Ruminiclostridium cellulolyticum H10, complete sequence                                                                                                               
NZ_LWAE01000007.1    -                Sodium     RF03071         cm  1        55     174619   174567  -      no    1     0.47 0.0  61.6  1.6e-07 !   Clostridium magnum DSM 2767 CLMAG_contig000007, whole genome shotgun sequence                                                                                         
LFSC01000025.1       -                Sodium     RF03071         cm  1        55     3275     3216    -      no    1     0.48 0.0  61.6  1.6e-07 !   MAG: Clostridiaceae bacterium DTU079 scaffold12311, whole genome shotgun sequence                                                                                     
NZ_CP025746.1        -                Sodium     RF03071         cm  1        55     2063350  2063294 -      no    1     0.37 0.0  61.6  1.6e-07 !   Clostridium sp. CT4 chromosome, complete genome                                                                                                                       
NZ_QFFZ01000015.1    -                Sodium     RF03071         cm  1        55     36261    36316   +      no    1     0.43 0.1  61.6  1.6e-07 !   Pelotomaculum propionicicum strain MGP Pmgp_15, whole genome shotgun sequence                                                                                         
NZ_QZWZ01000262.1    -                Sodium     RF03071         cm  1        55     344      289     -      no    1     0.34 0.0  61.5  1.8e-07 !   Mesorhizobium waimense strain ICMP19557 NODE_262_length_380_cov_0.873518, whole genome shotgun sequence                                                               
NC_022571.1          -                Sodium     RF03071         cm  1        55     3660357  3660300 -      no    1     0.38 0.0  61.2  2e-07   !   Clostridium saccharobutylicum DSM 13864, complete sequence                                                                                                            
NZ_JAABNO010000002.1 -                Sodium     RF03071         cm  1        55     205294   205238  -      no    1     0.39 0.0  61.1  2.1e-07 !   Clostridium sp. C8-1-8 NODE_2_length_436768_cov_253.084568, whole genome shotgun sequence                                                                             
NZ_CP032416.1        -                Sodium     RF03071         cm  1        55     2600662  2600607 -      no    1     0.3  0.0  61.0  2.3e-07 !   Clostridium fermenticellae strain JN500901 chromosome, complete genome                                                                                                
NZ_JAFJZZ010000003.1 -                Sodium     RF03071         cm  1        55     46682    46628   -      no    1     0.36 0.0  61.0  2.3e-07 !   Clostridium aminobutyricum strain DSM 2634 3, whole genome shotgun sequence                                                                                           
NC_021182.1          -                Sodium     RF03071         cm  1        55     1323766  1323710 -      no    1     0.33 0.2  60.9  2.4e-07 !   Clostridium pasteurianum BC1, complete sequence                                                                                                                       
NZ_JABBNI010000018.1 -                Sodium     RF03071         cm  1        55     3548     3603    +      no    1     0.32 0.0  60.8  2.5e-07 !   Clostridium sp. P21 NODE_23_length_94002_cov_128.626290, whole genome shotgun sequence                                                                                
JAAZML010000014.1    -                Sodium     RF03071         cm  1        55     23412    23469   +      no    1     0.52 0.0  60.8  2.6e-07 !   MAG: Clostridium sp. isolate AS23ysBPME_38 59146_AS23, whole genome shotgun sequence                                                                                  
NC_015555.1          -                Sodium     RF03071         cm  1        55     2477960  2478012 +      no    1     0.43 0.0  60.7  2.7e-07 !   Thermoanaerobacterium xylanolyticum LX-11, complete sequence                                                                                                          
DHEX01000146.1       -                Sodium     RF03071         cm  1        55     26566    26622   +      no    1     0.4  0.0  60.7  2.8e-07 !   MAG TPA_asm: Clostridiaceae bacterium UBA4839 UBA4839_contig_2464, whole genome shotgun sequence                                                                      
NZ_JH556658.1        -                Sodium     RF03071         cm  1        55     552835   552894  +      no    1     0.42 0.0  60.6  2.9e-07 !   Hungateiclostridium cellulolyticum CD2 Acecescaffold_8, whole genome shotgun sequence                                                                                 
NC_015958.1          -                Sodium     RF03071         cm  1        55     271969   271915  -      no    1     0.45 0.0  60.5  3e-07   !   Thermoanaerobacter wiegelii Rt8.B1, complete sequence                                                                                                                 
NZ_CP017634.1        -                Sodium     RF03071         cm  1        55     3750337  3750387 +      no    1     0.43 0.0  60.5  3.1e-07 !   Candidatus Formimonas warabiya strain DCMF chromosome, complete genome                                                                                                
NZ_JAGGLM010000020.1 -                Sodium     RF03071         cm  1        55     11548    11604   +      no    1     0.37 0.0  60.3  3.5e-07 !   Clostridium algifaecis strain DSM 28783 Ga0454146_20, whole genome shotgun sequence                                                                                   
DDXI01000112.1       -                Sodium     RF03071         cm  1        55     15036    14982   -      no    1     0.42 0.0  60.3  3.5e-07 !   MAG TPA_asm: Peptococcaceae bacterium UBA2264 UBA2264_contig_20379, whole genome shotgun sequence                                                                     
NZ_JNLE01000003.1    -                Sodium     RF03071         cm  1        55     2215168  2215223 +      no    1     0.41 0.0  60.1  3.9e-07 !   Clostridium sp. KNHs205 BR73DRAFT_scf7180000000014_quiver.3_C, whole genome shotgun sequence                                                                          
NZ_CP009170.1        -                Sodium     RF03071         cm  1        55     211445   211391  -      no    1     0.42 0.0  60.0  4.1e-07 !   Thermoanaerobacter kivui strain LKT-1 chromosome, complete genome                                                                                                     
DBTI01000210.1       -                Sodium     RF03071         cm  1        55     1684     1633    -      no    1     0.54 0.0  60.0  4.2e-07 !   MAG TPA_asm: Ruminococcaceae bacterium UBA1320 UBA1320_contig_23253, whole genome shotgun sequence                                                                    
AP024169.1           -                Sodium     RF03071         cm  1        55     2484389  2484333 -      no    1     0.39 0.0  59.8  4.8e-07 !   Lachnospiraceae bacterium TB5 DNA, complete genome                                                                                                                    
NZ_QNRX01000010.1    -                Sodium     RF03071         cm  1        55     52232    52181   -      no    1     0.42 0.0  59.6  5.1e-07 !   Alkalibaculum bacchi strain DSM 22112 Ga0244545_110, whole genome shotgun sequence                                                                                    
NC_014410.1          -                Sodium     RF03071         cm  1        55     2735373  2735425 +      no    1     0.45 0.0  59.5  5.6e-07 !   Thermoanaerobacterium thermosaccharolyticum DSM 571, complete sequence                                                                                                
NZ_RXYB01000011.1    -                Sodium     RF03071         cm  1        55     19314    19259   -      no    1     0.41 0.0  59.3  6.1e-07 !   Acetobacterium tundrae strain DSM 917 NODE_11_length_112500_cov_22.463, whole genome shotgun sequence                                                                 
